date,n,ct
2010-01-20,1,1
2010-01-29,1,2
2010-02-01,1,3
2010-02-02,4,7
2010-02-03,8,15
2010-02-04,2,17
2010-02-05,1,18
2010-02-07,1,19
2010-02-08,1,20
2010-02-10,2,22
2010-02-11,1,23
2010-02-12,1,24
2010-02-15,3,27
2010-02-16,4,31
2010-02-18,3,34
2010-02-19,1,35
2010-02-20,1,36
2010-02-22,1,37
2010-02-23,1,38
2010-02-27,1,39
2010-02-28,1,40
2010-03-01,2,42
2010-03-02,2,44
2010-03-04,1,45
2010-03-06,2,47
2010-03-11,2,49
2010-03-12,1,50
2010-03-15,1,51
2010-03-18,1,52
2010-03-19,1,53
2010-03-23,1,54
2010-03-27,1,55
2010-03-30,1,56
2010-03-31,1,57
2010-04-01,1,58
2010-04-07,1,59
2010-04-10,1,60
2010-04-13,5,65
2010-04-14,33,98
2010-04-15,30,128
2010-04-16,12,140
2010-04-17,5,145
2010-04-18,3,148
2010-04-19,2,150
2010-04-20,11,161
2010-04-21,11,172
2010-04-22,7,179
2010-04-23,4,183
2010-04-24,3,186
2010-04-25,1,187
2010-04-26,3,190
2010-04-27,3,193
2010-04-28,29,222
2010-04-29,28,250
2010-04-30,15,265
2010-05-01,4,269
2010-05-03,1,270
2010-05-04,5,275
2010-05-05,24,299
2010-05-06,33,332
2010-05-07,14,346
2010-05-08,16,362
2010-05-09,5,367
2010-05-10,9,376
2010-05-11,8,384
2010-05-12,6,390
2010-05-13,6,396
2010-05-14,7,403
2010-05-15,2,405
2010-05-16,1,406
2010-05-17,3,409
2010-05-18,9,418
2010-05-19,9,427
2010-05-20,6,433
2010-05-21,12,445
2010-05-22,8,453
2010-05-23,8,461
2010-05-24,17,478
2010-05-25,29,507
2010-05-26,27,534
2010-05-27,10,544
2010-05-28,15,559
2010-05-29,3,562
2010-05-30,8,570
2010-05-31,6,576
2010-06-01,3,579
2010-06-02,10,589
2010-06-03,7,596
2010-06-04,10,606
2010-06-05,3,609
2010-06-06,6,615
2010-06-07,56,671
2010-06-08,37,708
2010-06-09,72,780
2010-06-10,39,819
2010-06-11,15,834
2010-06-12,7,841
2010-06-13,4,845
2010-06-14,2,847
2010-06-15,10,857
2010-06-16,6,863
2010-06-17,5,868
2010-06-18,7,875
2010-06-19,2,877
2010-06-20,2,879
2010-06-21,3,882
2010-06-22,14,896
2010-06-23,29,925
2010-06-24,29,954
2010-06-25,43,997
2010-06-26,16,1013
2010-06-27,20,1033
2010-06-28,38,1071
2010-06-29,23,1094
2010-06-30,20,1114
2010-07-01,24,1138
2010-07-02,23,1161
2010-07-03,9,1170
2010-07-04,15,1185
2010-07-05,11,1196
2010-07-06,14,1210
2010-07-07,20,1230
2010-07-08,28,1258
2010-07-09,27,1285
2010-07-10,9,1294
2010-07-11,6,1300
2010-07-12,18,1318
2010-07-13,20,1338
2010-07-14,12,1350
2010-07-15,20,1370
2010-07-16,12,1382
